Name,Company Name,Job Title,Location,LinkedIn URL
Tom Hood CPA CGMA CITP,Forbes Finance Council,Member,Baltimore Maryland United States,https://www.linkedin.com/in/Tomhood/
Alec Ross,Bologna Business School,Distinguished Professor,Baltimore Maryland United States,https://www.linkedin.com/in/alec-ross-a3b46771/
Mike Rubin MD PhD CFA,Northpond Ventures,Founder and CEO,Bethesda Maryland United States,https://www.linkedin.com/in/mprubin/
Vernā Myers,The Vernā Myers Company (TVMC),Founder & President,Baltimore Maryland United States,https://www.linkedin.com/in/vern%c4%81-myers-99776513/
Cheryl Hall,Author and Illustrator,Owner,Lutherville-Timonium Maryland United States,https://www.linkedin.com/in/cheryl-hall-ot/
Subodh Mathur,Self-employed,Independent Consultant,Bethesda Maryland United States,https://www.linkedin.com/in/prof-subodh-mathur/
Alan Stein Jr.,Alan Stein Jr.,Speaker Coach Consultant and Author,Gaithersburg Maryland United States,https://www.linkedin.com/in/alan-stein-jr-384b2a12b/
Dr Sandeep Gopalan,University of Maryland Eastern Shore,Vice President for Research (Int'm),Princess Anne Maryland United States,https://www.linkedin.com/in/sandeep-gopalan/
Kenisha Beal-Dickey CEP PMP,Baltimore Gas and Electric,Manager Project Execution,Upper Marlboro Maryland United States,https://www.linkedin.com/in/kenishabealdickey/
Carlos Muhammad MS,Sapientia One Global Solutions,Director of Communications and Engagement,Gwynn Oak Maryland United States,https://www.linkedin.com/in/carlos-muhammad-ms-39987362/
Tunde Alaofin Ph.D,University of Maryland Global Campus,Professor of Information Technology,Silver Spring Maryland United States,https://www.linkedin.com/in/tunde-alaofin-ph-d-56469432/
John Fenzel,Heroes' Path Foundation,Chief Executive Officer,Annapolis Maryland United States,https://www.linkedin.com/in/johnfenzel/
Dr. Vivian A. Atud,myclearpathai,Partner,Rockville Maryland United States,https://www.linkedin.com/in/dr-vivian-a-atud-08390224/
John Celentano,Inside Towers,Business Editor,Baltimore Maryland United States,https://www.linkedin.com/in/john-celentano-4822692/
Dave Mattson,Sales Community,Advisory Board Member,Owings Mills Maryland United States,https://www.linkedin.com/in/dave-mattson-99538612/
Mark Treanor,Author,(No Job Title),Edgewater Maryland United States,https://www.linkedin.com/in/mark-treanor-55403a28/
Robin Rowe,Heroic Robots,CEO,Baltimore Maryland United States,https://www.linkedin.com/in/robin-rowe-084400/
Anil K. Gupta,Artificial Intelligence Interdisciplinary Institute at Maryland (AIM),Affiliate Faculty,College Park Maryland United States,https://www.linkedin.com/in/anil-k-gupta-31917b/
Leana Wen M.D. M.Sc.,Optomed Plc,Independent Board Member,Baltimore Maryland United States,https://www.linkedin.com/in/leanawen/
Rohini Anand PhD,Rohini Anand LLC,CEO,Potomac Maryland United States,https://www.linkedin.com/in/rohinianand/
Vance Berger,The National Institutes of Health,Biostatistician,Bethesda Maryland United States,https://www.linkedin.com/in/vance-berger-68a04337/
John Yeigh,Self-employed,Amazon Bestselling Youth-Sports Author,Annapolis Maryland United States,https://www.linkedin.com/in/john-yeigh-02a1432a/
Rodolfo Siles PMP MScM BSc Eng.,PM4DEV,Managing Director,Potomac Maryland United States,https://www.linkedin.com/in/rodolfo-siles-pmp-mscm-bsc-eng-7b976b4/
Simons Acquah,Love Legacy Books,Children's Book Author and Speaker,North Beach Maryland United States,https://www.linkedin.com/in/simons-acquah-08a68699/
Frank J. Nice,Nice Breastfeeding LLC,Owner/President,Derwood Maryland United States,https://www.linkedin.com/in/frank-j-nice-1512aab5/
Bracha Goetz,www.growingimpactpublications.com,Author at www.growingimpactpublications.com,Baltimore Maryland United States,https://www.linkedin.com/in/bracha-goetz-0689a88/
Curtis K.S. Levinson D.HL. (HC) CISSP-CAP MBCP C-CISO CDPSE,MetTel,Chief Information Security Officer and Privacy Expert,Rockville Maryland United States,https://www.linkedin.com/in/curtislevinson/
Nick van Terheyden MD ACPA-C,Incremental Healthcare,Chief Executive Officer,Brookeville Maryland United States,https://www.linkedin.com/in/nickvt/
Andre M. Perry,The Brookings Institution,Director of the Center for Community Uplift,Oxon Hill Maryland United States,https://www.linkedin.com/in/andre-m-perry-a9271b41/
Celeste Headlee,Morgan State University,Assistant Professor,Rockville Maryland United States,https://www.linkedin.com/in/celesteheadlee/
John Wilhoit Jr.,Cap Ex Advisory Group,Director of Asset Management,Bethesda Maryland United States,https://www.linkedin.com/in/johnwilhoit/
Kenji Darby CISM PMP M. Ed.,Omnisource Consulting Inc.,Chief Technology Officer,Annapolis Maryland United States,https://www.linkedin.com/in/kenji-darby-cism-pmp-m-ed-sme-rmf-2b80a754/
Bill Cates The Original Referral Coach,Referral Coach International,Host of: www.TopAdvisorPodcast.com,Annapolis Maryland United States,https://www.linkedin.com/in/billcates/
Kevin Wilson,Sylvester Enterprises LLC,Publicist/Writer,Silver Spring Maryland United States,https://www.linkedin.com/in/kevin-wilson-39ba2bb/
Suzi Pomerantz Executive Leadership Coach,Innovative Leadership International LLC,CEO,Clarksburg Maryland United States,https://www.linkedin.com/in/suzipomerantz/
Dr. Bea Carson,Rotary International,Assistant Governor District 7620 Area 10,Annapolis Maryland United States,https://www.linkedin.com/in/dr-bea-carson-7826a94/
Rob Jolles,Jolles Associates Inc.,President,Chevy Chase Maryland United States,https://www.linkedin.com/in/rob-jolles-8a459b12/
Djordjija Petkoski,The Wharton School,Lecturer,Bethesda Maryland United States,https://www.linkedin.com/in/djordjija-petkoski-a4a43661/
Mark Davis MD,Science Tutor Author Editor Medical Record Reviewer Healthcare Consultant Radio Guest,Mark Davis MD,Baltimore City County Maryland United States,https://www.linkedin.com/in/mark-davis-md-37b0ba23/
Kate McQuade,LaBarge Financial,Marketer,Annapolis Maryland United States,https://www.linkedin.com/in/katemcquade/
Harry Greenspun M.D.,Modern Executive Solutions,Senior Partner & Global Leader Healthcare and Life Sciences,Bethesda Maryland United States,https://www.linkedin.com/in/harrygreenspun/
Ms. Donna L. Quesinberry,dpInk Ltd. Liability Company,Founder & CEO | Executive Director of Narrative Strategy & Influence,Brandywine Maryland United States,https://www.linkedin.com/in/donnaink/
Tessie Catsambas,EnCompass Appreciative Growth Studio,Founder,Bethesda Maryland United States,https://www.linkedin.com/in/tessie-catsambas-518913/
Brad Johnson,Johns Hopkins University School of Education,Faculty Associate,Annapolis Maryland United States,https://www.linkedin.com/in/brad-johnson-88a060136/
Aliakbar Jalali,University of Maryland Baltimore County,Adjunct Professor,Montgomery Village Maryland United States,https://www.linkedin.com/in/aliakbar-jalali-4569405/
Al Zeitoun,Zeitoun Advisory,Senior Transformation Advisor,Bethesda Maryland United States,https://www.linkedin.com/in/aazeitoun/
Michaela Light,TeraTech,Host of CF Alive podcast,Rockville Maryland United States,https://www.linkedin.com/in/abundantmichael/
T Winslow Morris MBA,Triumphant Athletic Agency,Podcast Producer,Baltimore County Maryland United States,https://www.linkedin.com/in/tabuwinslowmba/
Robert McKeon,Association of Nutrition & Foodservice Professionals (ANFP),President,Dickerson Maryland United States,https://www.linkedin.com/in/robert-mckeon-41257435/
Dr. Ben Carson,Presidential Candidate,(No Job Title),Baltimore Maryland United States,https://www.linkedin.com/in/realbencarson/
